College_ID,Rank,University_name,Year,CS_Overall_Score,CS_Academic_Reputation,CS_Employer_Reputation,CS_Citations_Per_Paper,CS__Index_Citations,CS_International_Research,Location,Country
1653,401-450,Hokkaido University,2021,#DIV/0!,null,null,null,null,, Sapporo ,
1654,401-450,Hong Kong Baptist University,2021,84.6,null,null,84.6,null,, Hong Kong ,
1655,401-450,Indraprastha Institute of Information Technology Delhi,2021,#DIV/0!,null,null,null,null,, New Delhi,
1656,401-450,Iowa State University,2021,82.85,null,null,83.9,81.8,, Ames ,
1657,401-450,Kyungpook National University,2021,#DIV/0!,null,null,null,null,, Daegu ,
1658,401-450,Université Laval,2021,#DIV/0!,null,null,null,null,, Québec ,
1659,401-450,Lebanese University,2021,#DIV/0!,null,null,null,null,, Beirut ,
1660,401-450,Masaryk University,2021,#DIV/0!,null,null,null,null,, Brno ,
1661,401-450,Nankai University,2021,#DIV/0!,null,null,null,null,, Tianjin ,
1662,401-450,National Chengchi University,2021,#DIV/0!,null,null,null,null,, Taipei City ,
1663,401-450,National Taiwan Normal University,2021,#DIV/0!,null,null,null,null,, Taipei City ,
1664,401-450,Pontificia Universidad Javeriana,2021,#DIV/0!,null,null,null,null,, Bogotá ,
1665,401-450,Rensselaer Polytechnic Institute,2021,#DIV/0!,null,null,null,null,, Troy ,
1666,401-450,Ruhr-Universität Bochum,2021,#DIV/0!,null,null,null,null,, Bochum ,
1667,401-450,Toronto Metropolitan University,2021,#DIV/0!,null,null,null,null,, Toronto ,
1668,401-450,Institut Teknologi Sepuluh Nopember (ITS Surabaya),2021,#DIV/0!,null,null,null,null,, Surabaya ,
1669,401-450,Syracuse University,2021,#DIV/0!,null,null,null,null,, Syracuse ,
1670,401-450,The American University in Cairo,2021,74,null,74,null,null,, Cairo ,
1671,401-450,The Open University,2021,#DIV/0!,null,null,null,null,, Milton Keynes ,
1672,401-450,Tilburg University,2021,#DIV/0!,null,null,null,null,, Tilburg ,
1673,401-450,Tomsk State University,2021,70.4,null,70.4,null,null,, Tomsk ,
1674,401-450,Universidad Técnica Federico Santa María (USM),2021,#DIV/0!,null,null,null,null,, Valparaíso ,
1675,401-450,Catania University,2021,#DIV/0!,null,null,null,null,, Catania ,
1676,401-450,University of Genoa,2021,#DIV/0!,null,null,null,null,, Genoa ,
1677,401-450,Friedrich-Alexander-Universität Erlangen-Nürnberg,2021,#DIV/0!,null,null,null,null,, Erlangen ,
1678,401-450,Université de Sherbrooke,2021,#DIV/0!,null,null,null,null,, Sherbrooke ,
1679,401-450,Universiti Teknologi PETRONAS (UTP),2021,#DIV/0!,null,null,null,null,, Seri Iskandar ,
1680,401-450,University of Bath,2021,#DIV/0!,null,null,null,null,, Bath ,
1681,401-450,University of Bergen,2021,#DIV/0!,null,null,null,null,, Bergen ,
1682,401-450,University of Crete,2021,#DIV/0!,null,null,null,null,, Heraklion ,
1683,401-450,University of Dhaka,2021,#DIV/0!,null,null,null,null,, Dhaka ,
1684,401-450,University of Engineering &amp; Technology (UET) Lahore,2021,#DIV/0!,null,null,null,null,, Lahore ,
1685,401-450,University of Manitoba,2021,#DIV/0!,null,null,null,null,, Winnipeg ,
1686,401-450,University of Miami,2021,#DIV/0!,null,null,null,null,, Miami ,
1687,401-450,University of South Carolina,2021,#DIV/0!,null,null,null,null,, Columbia ,
1688,401-450,University of South Florida,2021,#DIV/0!,null,null,null,null,, Tampa ,
1689,401-450,University of Tehran,2021,80.8,null,null,null,80.8,, Tehran ,
1690,401-450,Xiamen University,2021,#DIV/0!,null,null,null,null,, Xiamen ,
1691,401-450,Xidian University,2021,87.9,null,null,null,87.9,, Xi'an ,
1692,451-500,Ajou University ,2021,#DIV/0!,null,null,null,null,, Suwon ,
1693,451-500,Beijing University of Technology,2021,#DIV/0!,null,null,null,null,, Beijing ,
1694,451-500,Bina Nusantara University (BINUS),2021,#DIV/0!,null,null,null,null,, Jakarta ,
1695,451-500,Case Western Reserve University,2021,#DIV/0!,null,null,null,null,, Cleveland ,
1696,451-500,Chung-Ang University (CAU),2021,#DIV/0!,null,null,null,null,, Seoul ,
1697,451-500,Colorado State University,2021,#DIV/0!,null,null,null,null,, Fort Collins ,
1698,451-500,Dalhousie University,2021,#DIV/0!,null,null,null,null,, Halifax ,
1699,451-500,Drexel University,2021,#DIV/0!,null,null,null,null,, Philadelphia ,
1700,451-500,University of Göttingen,2021,#DIV/0!,null,null,null,null,, Göttingen ,
1701,451-500,Georgetown University,2021,#DIV/0!,null,null,null,null,, Washington D.C. ,
1702,451-500,Gwangju Institute of Science and Technology (GIST),2021,#DIV/0!,null,null,null,null,, Gwangju ,
1703,451-500,Indian Statistical Institute,2021,#DIV/0!,null,null,null,null,, Kolkata BangaloreIndia,
1704,451-500,International Institute of Information Technology - Hyderabad (IIIT-H),2021,#DIV/0!,null,null,null,null,, nullIndia,
1705,451-500,La Trobe University,2021,#DIV/0!,null,null,null,null,, Melbourne ,
1706,451-500,Universidade Federal de São Carlos (UFSCar),2021,#DIV/0!,null,null,null,null,, São Paulo ,
1707,451-500,Universidade Federal do Paraná - UFPR,2021,#DIV/0!,null,null,null,null,, Curitiba ,
1708,451-500,Università degli studi Roma Tre,2021,#DIV/0!,null,null,null,null,, Rome ,
1709,451-500,Universität Innsbruck,2021,#DIV/0!,null,null,null,null,, Innsbruck ,
1710,451-500,Université Claude Bernard Lyon 1,2021,#DIV/0!,null,null,null,null,, Villeurbanne ,
1711,451-500,Université de Lorraine,2021,#DIV/0!,null,null,null,null,, Nancy ,
1712,451-500,Université de Strasbourg,2021,#DIV/0!,null,null,null,null,, Strasbourg ,
1713,451-500,Université Paul Sabatier Toulouse III,2021,#DIV/0!,null,null,null,null,, Toulouse ,
1714,451-500,Université Côte d'Azur,2021,#DIV/0!,null,null,null,null,, Nice ,
1715,451-500,University of Antwerp,2021,#DIV/0!,null,null,null,null,, Antwerp ,
1716,451-500,University of Connecticut,2021,#DIV/0!,null,null,null,null,, Storrs ,
1717,451-500,University of Exeter,2021,#DIV/0!,null,null,null,null,, Exeter ,
1718,451-500,University of Gothenburg,2021,#DIV/0!,null,null,null,null,, Gothenburg ,
1719,451-500,University of Leicester,2021,#DIV/0!,null,null,null,null,, Leicester ,
1720,451-500,University of Pretoria,2021,#DIV/0!,null,null,null,null,, Pretoria ,
1721,451-500,The University of Texas at Arlington,2021,83.9,null,null,86.5,81.3,, Arlington ,
1722,451-500,University POLITEHNICA of Bucharest,2021,#DIV/0!,null,null,null,null,, Bucharest ,
1723,451-500,Ural Federal University - UrFU,2021,72.5,null,72.5,null,null,, Ekaterinburg ,
1724,451-500,Verona University,2021,#DIV/0!,null,null,null,null,, Verona ,
1725,451-500,Western Sydney University,2021,#DIV/0!,null,null,null,null,, Milperra ,
1726,451-500,College of William and Mary,2021,#DIV/0!,null,null,null,null,, Williamsburg ,
1727,501-550,Al-Farabi Kazakh National University,2021,55.6,55.6,null,null,null,, Almaty ,
1728,501-550,Babes-Bolyai University,2021,#DIV/0!,null,null,null,null,, Cluj-Napoca ,
1729,501-550,City University of New York,2021,#DIV/0!,null,null,null,null,, New York City ,
1730,501-550,Coventry University,2021,#DIV/0!,null,null,null,null,, Coventry ,
1731,501-550,Cranfield University,2021,#DIV/0!,null,null,null,null,, Bedford ,
1732,501-550,De Montfort University,2021,#DIV/0!,null,null,null,null,, Leicester ,
1733,501-550,Ecole des Ponts ParisTech,2021,76,null,76,null,null,, Paris ,
1734,501-550,EURECOM,2021,#DIV/0!,null,null,null,null,, Sophia Antipolis ,
1735,501-550,Indian Institute of Information Technology Allahabad,2021,#DIV/0!,null,null,null,null,, Prayagraj,
1736,501-550,Indian Institute of Technology Indore,2021,#DIV/0!,null,null,null,null,, Indore ,
1737,501-550,International Islamic University Malaysia (IIUM),2021,#DIV/0!,null,null,null,null,, Kuala Lumpur ,
1738,501-550,Japan Advanced Institute of Science and Technology,2021,#DIV/0!,null,null,null,null,, Nomi City ,
1739,501-550,Kazan (Volga region) Federal University,2021,#DIV/0!,null,null,null,null,, Kazan ,
1740,501-550,Kingston University London,2021,#DIV/0!,null,null,null,null,, Kingston upon Thames,
1741,501-550,Kuwait University,2021,#DIV/0!,null,null,null,null,, Kuwait City ,
1742,501-550,Leibniz University Hannover,2021,#DIV/0!,null,null,null,null,, Hanover ,
1743,501-550,National Chung Hsing University,2021,#DIV/0!,null,null,null,null,, Taichung City ,
1744,501-550,"National Technical University of Ukraine ""Igor Sikorsky Kyiv Polytechnic Institute""",2021,70.1,null,70.1,null,null,, Kyiv ,
1745,501-550,University of New Brunswick,2021,#DIV/0!,null,null,null,null,, Fredericton ,
1746,501-550,Riga Technical University,2021,#DIV/0!,null,null,null,null,, Riga ,
1747,501-550,Taras Shevchenko National University of Kyiv,2021,#DIV/0!,null,null,null,null,, Kyiv ,
1748,501-550,Temple University,2021,84.9,null,null,84.9,null,, Philadelphia ,
1749,501-550,The University of Georgia,2021,#DIV/0!,null,null,null,null,, Athens ,
1750,501-550,Tufts University,2021,#DIV/0!,null,null,null,null,, Medford ,
1751,501-550,University of Houston,2021,82.7,null,null,84.1,81.3,, Houston ,
1752,501-550,University of Missouri Columbia,2021,#DIV/0!,null,null,null,null,, Columbia,
1753,501-550,University of Mons ,2021,#DIV/0!,null,null,null,null,, Mons ,
1754,501-550,University of Southern Denmark (SDU),2021,#DIV/0!,null,null,null,null,, Odense ,
1755,501-550,University of Sussex,2021,#DIV/0!,null,null,null,null,, Brighton ,
1756,501-550,University of the Punjab,2021,#DIV/0!,null,null,null,null,, Lahore ,
1757,501-550,Vilnius Gediminas Technical University (VILNIUS TECH),2021,#DIV/0!,null,null,null,null,, Vilnius ,
1758,501-550,Wayne State University,2021,84.1,null,null,84.1,null,, Detroit ,
1759,501-550,Wroclaw University of Science and Technology (WRUST),2021,#DIV/0!,null,null,null,null,, Wroclaw  ,
1760,501-550,Yarmouk University,2021,#DIV/0!,null,null,null,null,, Irbid ,
1761,501-550,Zayed University,2021,#DIV/0!,null,null,null,null,, Abu Dhabi,
1762,551-600,AGH University of Science and Technology,2021,#DIV/0!,null,null,null,null,, Krakow ,
